IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.37.0,443,443,TRUE,FRA,Europe,Frankfurt,181,10.4
34.118.16.81,443,443,TRUE,FRA,Europe,Frankfurt,375,10.36
34.91.53.158,443,443,TRUE,FRA,Europe,Frankfurt,176,10.36
34.116.221.13,443,443,TRUE,FRA,Europe,Frankfurt,271,10.34
34.118.55.210,443,443,TRUE,FRA,Europe,Frankfurt,680,10.34
34.154.97.242,443,443,TRUE,FRA,Europe,Frankfurt,177,10.34
34.154.100.72,443,443,TRUE,FRA,Europe,Frankfurt,189,10.33
35.228.168.221,443,443,TRUE,ARN,Europe,Stockholm,201,10.29
34.89.206.85,443,443,TRUE,FRA,Europe,Frankfurt,170,10.29
34.116.132.57,443,443,TRUE,FRA,Europe,Frankfurt,243,10.29
34.154.224.89,443,443,TRUE,FRA,Europe,Frankfurt,189,10.27
34.118.125.121,443,443,TRUE,FRA,Europe,Frankfurt,236,10.26
34.116.132.57,443,443,TRUE,FRA,Europe,Frankfurt,246,10.24
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,191,10.23
34.154.122.9,443,443,TRUE,FRA,Europe,Frankfurt,177,10.23
34.154.205.75,443,443,TRUE,FRA,Europe,Frankfurt,197,10.23
34.118.16.81,443,443,TRUE,FRA,Europe,Frankfurt,259,10.22
34.154.70.101,443,443,TRUE,FRA,Europe,Frankfurt,192,10.22
34.154.237.3,443,443,TRUE,FRA,Europe,Frankfurt,176,10.2
34.154.244.251,443,443,TRUE,FRA,Europe,Frankfurt,176,10.19
34.116.252.39,443,443,TRUE,FRA,Europe,Frankfurt,246,10.14
34.32.156.59,443,443,TRUE,FRA,Europe,Frankfurt,177,10.13
34.154.48.205,443,443,TRUE,FRA,Europe,Frankfurt,196,10.13
34.91.47.164,443,443,TRUE,FRA,Europe,Frankfurt,172,10.11
34.154.1.132,443,443,TRUE,FRA,Europe,Frankfurt,178,10.09
34.118.125.121,443,443,TRUE,FRA,Europe,Frankfurt,230,10.08
34.154.87.71,443,443,TRUE,FRA,Europe,Frankfurt,177,10.05
34.154.57.211,443,443,TRUE,FRA,Europe,Frankfurt,181,10.05
34.91.53.158,443,443,TRUE,FRA,Europe,Frankfurt,180,10.05
34.154.77.20,443,443,TRUE,FRA,Europe,Frankfurt,176,10.03
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,185,10.03
34.118.12.85,443,443,TRUE,FRA,Europe,Frankfurt,274,10.02
34.154.183.87,443,443,TRUE,FRA,Europe,Frankfurt,181,10
34.91.53.158,443,443,TRUE,FRA,Europe,Frankfurt,179,9.99
34.154.36.179,443,443,TRUE,FRA,Europe,Frankfurt,182,9.95
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,188,9.95
34.118.14.243,443,443,TRUE,FRA,Europe,Frankfurt,245,9.84
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,186,9.84
34.154.135.246,443,443,TRUE,FRA,Europe,Frankfurt,193,9.84
34.118.22.194,443,443,TRUE,FRA,Europe,Frankfurt,269,9.82
34.118.95.49,443,443,TRUE,FRA,Europe,Frankfurt,238,9.82
34.154.141.118,443,443,TRUE,FRA,Europe,Frankfurt,188,9.78
34.154.213.128,443,443,TRUE,FRA,Europe,Frankfurt,178,9.75
34.34.102.84,443,443,TRUE,FRA,Europe,Frankfurt,173,9.67
34.91.2.254,443,443,TRUE,FRA,Europe,Frankfurt,179,9.66
34.154.152.177,443,443,TRUE,FRA,Europe,Frankfurt,176,9.64
34.91.166.120,443,443,TRUE,FRA,Europe,Frankfurt,177,9.62
34.116.157.225,443,443,TRUE,FRA,Europe,Frankfurt,282,9.62
34.154.92.40,443,443,TRUE,FRA,Europe,Frankfurt,168,9.61
34.118.122.49,443,443,TRUE,FRA,Europe,Frankfurt,248,9.6
34.154.200.20,443,443,TRUE,FRA,Europe,Frankfurt,211,9.57
34.90.31.179,443,443,TRUE,FRA,Europe,Frankfurt,176,9.52
34.154.67.92,443,443,TRUE,FRA,Europe,Frankfurt,179,9.45
34.118.95.49,443,443,TRUE,FRA,Europe,Frankfurt,247,9.39
34.118.122.49,443,443,TRUE,FRA,Europe,Frankfurt,210,9.25
34.118.55.210,443,443,TRUE,FRA,Europe,Frankfurt,262,9.07
34.107.54.88,443,443,TRUE,FRA,Europe,Frankfurt,221,9.04
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,207,9.04
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,222,9.03
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,207,9.03
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,206,9.02
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,205,9.02
34.41.252.92,443,443,TRUE,ORD,North America,Chicago,206,9.02
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,207,9.01
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,208,9
35.226.211.129,443,443,TRUE,ORD,North America,Chicago,206,9
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,206,9
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,199,9
34.41.252.92,443,443,TRUE,ORD,North America,Chicago,226,8.99
